id,text,topic_label,sentiment_label,confidence,Include,notes
77,Ndendende kwantele,economy,negative,high,yes,
78,"Ali ""Nanunso tatulutsani sitetimenti kuti anthuwa azikhulupirira zomwe akunena anduna a zoyankhulayankhula zija"" 🤣🤣🤣🤣🤣🤣 Desperation ija osadzayiphweketsa",economy,neutral,high,yes,
79,Tima tanker 10 tikabwera basi ayambapo tima press briefing yake ija minister of energy.,economy,negative,high,yes,
80,Koma izi zoti ma tankers anyamuka hee alimunjira hheeee alipo 100 plus zatitopesa chosani ma levy osafunikilawo ife tikufuna fuelo,economy,negative,high,yes,
81,zazii zokhazokha,economy,negative,high,yes,
82,Dziko ndi anthu ake,economy,neutral,high,yes,
83,Komatu boma lapanikizika osati masewera kkkkkkk,economy,negative,high,yes,
84,Fuel is not cash crop vizungu vaka mtelo,economy,negative,high,yes,
85,Kodi powoda katundu mumadikira wothe kaye ?,economy,negative,high,yes,
87,Wa transporter kuyankhula ngati wa NOCMA. Chibanzi Pro Max,economy,negative,high,yes,
88,Mafuta a 2days boma lazingwa,economy,negative,high,yes,
89,Bolaso akanangokhala chete osanena mkomwetu,economy,negative,high,yes,
90,Kujiya Promax,economy,negative,high,yes,
91,Mesa mwansmveka ananena kuti forex alinayo ikuthamangila 650 million dollars?ndiye ilikutiko,economy,negative,high,yes,
92,"100 Basi 

Mafuta ongokwanila pa filling station ya pa Chiseka  kkkkkk",economy,neutral,medium,yes,
93,Hhhhhaaa dziko lathu la Malawi ndilovutika ndithu ili ine yanga galimoto ndangogulitsa basi iyaaa ndatopa nazo za mafutazi tsopano ndiiziyenda pakapalasa basi,economy,negative,high,yes,
94,Golide anayalo wagulitsidwano?,economy,neutral,high,yes,
95,Aliyense wasanduka mneneri  wa boma tsopano . Where is the landlord?,economy,negative,high,yes,
96,Mmmm mwayapeza liti ma dollars dzulo paja Namalomba  amalira kt forex yavuta?,economy,negative,high,yes,
97,"Zamisalatu zimenezo, bwanji kodi anuwake akuti fuel wawavuta iweyo waganyu onyamula ukunena zina aaaa kikkkkk",economy,negative,high,yes,
98,Bola pamenepo kkkk agalu awa ankayankhula mopusa,economy,neutral,high,no,mixed
99,ndamva,economy,positive,high,yes,
100,100 a Mavenda awo azatha in minutes,economy,negative,high,yes,
102,Ndiye inuyo mukumvela iyeyo amagula mafuta? Inu mkumalemba ZOPEPELAZO zoona?,economy,negative,high,yes,
103,"Ma driver akunjawo asiyeni ngati sakufuna zizude zathu zamakwachazi akagwere , uzani achina tobiasi athu omwewa akatenge mafutawo",economy,negative,high,yes,
104,Ndalama zimenezo ndizochepa anthuwa akutolera misonkho yambiri ndipo nzotheka kutero atasintha kaganizidwe.,economy,negative,high,yes,
105,Mwatuma TAM kuti ikuyankhulileni😂😂😂,economy,negative,high,yes,
106,"Kumeko basi, kuli kanthu kokathula ndi sizasi lam telling u. Kalikonse tikawona",economy,negative,high,yes,
107,"Kungosintha President Nyimbo imodzi 
Mafuta Anyamuka .",economy,negative,high,yes,
108,"Imandisangalasa ndi Zimbabwe they use dollars themselves in Africa, Kodi sizingatheke the whole Africa tizi use one money currency",economy,neutral,high,yes,
109,Nthawi ya anzanu ijansotu zinali chonchi kkk,economy,negative,high,yes,
110,Komatu furanki wawonjeza,economy,negative,high,yes,
111,"Mwachulukidwatu, mpakana mwayamba kuyankhulitsa a TAM😆",economy,negative,high,yes,
112,"Kodi mukuti chani nkhani zanuzi, zizungu  zanuzi koma kumangozifinyafinya",economy,negative,high,yes,
