comment_id,comment_text
101,"Zikomo kwambiri boma lathu for this development!"
102,"This is total nonsense and absolute waste of taxpayers money."
103,"Dowa is always on the map, love from republic of DOWA!"
104,"Napoleon Grasshoppers thinks like AI."
105,"We want more leaders who care about the economy, not politics."
106,"Tikutamandani kwambiri chifukwa cha ntchito yabwino imene mukugwira."
107,"I hate politicians, they are all thieves."
108,"Amuna chisale pamakina kwambiri."
109,"basi kudowa ndikuchipata chabwino kwambiri."
110,"God bless Malawi and our leaders."
111,"I am not sure about this, let us wait and see."
112,"Maybe it is good, maybe it is bad, let's see."
113,"No comments from my side."
114,"Osati nkhani ya ndale chonde."
115,"I think this is okay but we could do better."
116,"Sindimvetsa chilichonse chimene mukunena inu."
117,"What a wonderful performance!"
118,"This is extremely disappointing."
119,"Neutral opinion on this."
120,"Chisale pamakina."
